synon_skill,skill_description,,
PR Campaign,"PR campaign is an effort to accomplish a clear, measurable goal through strategic messaging to the target audience.",,
HR Policies,HR policies are the framework and principles that an organisation uses to manage its staff.,,
Service Provider Interface (SPI),Service Provider Interface (SPI) is an API that allows a third party to incorporate or extend it used to add framework extensions and replaceable modules to the framework.,,
Soak Testing,Soak Testing is a method of non-functional testing used for a prolonged period of time to assess the output of a software programme under a huge load rate.,,
Pricing Modelling,Pricing Modelling is the price of a good in a market as a function of supply and demand.,,
Production Planning for Process Industries (PPPI),"PPPI stands for production planning process industries, it is a component of SAP which provides integrated planning tool for batch oriented process manufacturing.",,
Chemoperfusion,Chemoperfusion is a locoregional treatment used as an adjuvant therapy for locally advanced malignancies and as a palliative treatment for tumours that are incurable.,,
Audiogram Test Analysis,"Audiogram Test Analysis is a noninvasive, painless hearing test that assesses a person's ability to distinguish between various sounds, pitches, and frequencies.",,
Process Quality Improvement,Process Quality Improvement is a systematic approach to assessing the processes and identifying areas where changes are required in both functional and operational areas.,,
Information Systems,"Information Systems is a structured, socio-technical, organizational system designed to collect, process, store and distribute information.",,
Remote Access VPN,"Remote Access VPN enables users who are working remotely to securely access and use applications and data that reside in the corporate data center and headquarters, encrypting all traffic the users send and receive.",,
Restoration Project Management,Restoration Project Management is management that returns a place to its historic role as part of a natural ecosystem or improves the site's ecological performance.,,
Social Media Optimization (SMO),"Social Media Optimization (SMO) is the process of generating attention for a product, service brand, or event through various platforms and communities.",,
Sibelius,"Sibelius is a software that assists in the creation, editing, and printing of musical scores. It supports all music notations, allowing current symphonic, choral, jazz, pop, folk, rock, and chamber music scores to be engraved to publishing quality.",,
Patent Intelligence,Patent Intelligence is the process of obtaining commercial and legal market insights from patent research in order to help corporate decision making.,,
Soil Management,"Soil Management is a land management process, and it can focus on differences in soil types and features to identify specific interventions aimed at improving soil quality for the land use chosen.",,
Network Function Virtualization (NFV),Network Function Virtualization is a network architecture principle that employs IT virtualization technologies to virtualize whole groups of network node functions into building blocks that can be linked together to form communication services.,,
RPGSQL,RPGSQL in R programming allows users to read and write data frames to and from a Postgresql database.,,
System Logging Protocol (Syslog),System Logging Protocol (Syslog) is a standard message format that network devices can use to communicate with a logging server.,,
Rational XDE,"Rational XDE is used to simplify the complex process of software design, creating a \blueprint\"" for construction of software systems.""",,
Talend Open Studio,"Talend Open Studio is an open-source application and software integration provider that offers big data, data quality, data preparation, and data integration solutions.",,
Laser Ablation,Laser Ablation is the process of eliminating material from a solid surface by illuminating the target with a laser.,,
Web Content Management,"Web Content Management is the process of creating, managing, storing, and displaying content on websites.",,
